#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
100,0.10000000000000007,-430084.99072265736,88929.57424811117,301.858982523842,342.4238188306513,1.0245457269831315
200,0.20000000000000015,-430528.8376642653,89296.93729114611,303.1059449131817,342.4238188306513,1.0245457269831315
300,0.3000000000000002,-430292.9030519837,88923.29125013467,301.83765576733356,342.4238188306513,1.0245457269831315
400,0.4000000000000003,-430489.6695613769,89164.0390017741,302.6548402863107,342.4238188306513,1.0245457269831315
500,0.5000000000000003,-430299.16871779837,88506.45215643084,300.42275385460715,342.4238188306513,1.0245457269831315
600,0.6000000000000004,-430471.10950384976,88275.75462778477,299.6396834097451,342.4238188306513,1.0245457269831315
700,0.7000000000000005,-430778.8218360827,88549.03112244261,300.5672821902694,342.4238188306513,1.0245457269831315
800,0.8000000000000006,-431431.0724322554,89006.8031853945,302.12112533321493,342.4238188306513,1.0245457269831315
900,0.9000000000000007,-430244.59112075676,87859.05798645368,298.2252650316432,342.4238188306513,1.0245457269831315
1000,1.0000000000000007,-430050.8221389434,87703.2437826379,297.6963755432557,342.4238188306513,1.0245457269831315
1100,1.0999999999999897,-430928.52752872626,88483.66448223928,300.345404286663,342.4238188306513,1.0245457269831315
1200,1.1999999999999786,-430707.33969774796,88317.4501956896,299.7812131742797,342.4238188306513,1.0245457269831315
1300,1.2999999999999676,-430581.58300788596,88372.16614284737,299.96693879229286,342.4238188306513,1.0245457269831315
1400,1.3999999999999566,-430866.664269391,88391.96559291348,300.03414525203374,342.4238188306513,1.0245457269831315
1500,1.4999999999999456,-430922.36791872326,88635.42718335794,300.86054151667986,342.4238188306513,1.0245457269831315
1600,1.5999999999999346,-431077.3258506032,89263.13284260062,302.9912004479237,342.4238188306513,1.0245457269831315
1700,1.6999999999999236,-430429.29067412234,88744.90088927578,301.2321346763331,342.4238188306513,1.0245457269831315
1800,1.7999999999999126,-429905.82638893137,88575.44255636414,300.6569321030004,342.4238188306513,1.0245457269831315
1900,1.8999999999999015,-430148.83545058715,88511.64600254032,300.44038363767146,342.4238188306513,1.0245457269831315
2000,1.9999999999998905,-430265.4179841696,88802.87548949716,301.42892133569825,342.4238188306513,1.0245457269831315
2100,2.0999999999998797,-429948.6361765753,88599.36313474817,300.73812715552856,342.4238188306513,1.0245457269831315
2200,2.1999999999998687,-429729.9594705012,88299.71308169072,299.72100702542673,342.4238188306513,1.0245457269831315
2300,2.2999999999998577,-429222.2366249928,88193.53706875992,299.36060742267694,342.4238188306513,1.0245457269831315
2400,2.3999999999998467,-430394.9576459503,89701.56923191763,304.4794113552583,342.4238188306513,1.0245457269831315
2500,2.4999999999998357,-430323.7854668373,88404.05278794913,300.07517354240713,342.4238188306513,1.0245457269831315
2600,2.5999999999998247,-430820.3020299027,88196.32196575159,299.3700603654066,342.4238188306513,1.0245457269831315
2700,2.6999999999998137,-430385.6322622786,88037.05056384839,298.829435902396,342.4238188306513,1.0245457269831315
2800,2.7999999999998026,-430656.18069271947,88719.78825858427,301.14689336922993,342.4238188306513,1.0245457269831315
2900,2.8999999999997916,-430096.0375919773,88612.33374818019,300.7821540858991,342.4238188306513,1.0245457269831315
3000,2.9999999999997806,-429996.71743915544,88740.31286188947,301.21656126006144,342.4238188306513,1.0245457269831315
3100,3.0999999999997696,-430337.49764729873,88629.01653631548,300.8387814732981,342.4238188306513,1.0245457269831315
3200,3.1999999999997586,-429860.7779062859,88139.36244013888,299.17671923460887,342.4238188306513,1.0245457269831315
3300,3.2999999999997476,-430066.83239171596,88463.0187629838,300.2753252847042,342.4238188306513,1.0245457269831315
3400,3.3999999999997366,-429945.60083713674,88725.60505350855,301.16663766478337,342.4238188306513,1.0245457269831315
3500,3.4999999999997256,-430633.29186766123,89169.28243554418,302.6726383877426,342.4238188306513,1.0245457269831315
3600,3.5999999999997145,-430139.52322532964,88207.7681012636,299.4089126690266,342.4238188306513,1.0245457269831315
3700,3.6999999999997035,-430475.575399481,88524.042888815,300.4824631315741,342.4238188306513,1.0245457269831315
3800,3.7999999999996925,-430643.86139011686,88403.09871839064,300.07193508693695,342.4238188306513,1.0245457269831315
3900,3.8999999999996815,-430069.41920644697,87922.44117459764,298.4404103850761,342.4238188306513,1.0245457269831315
4000,3.9999999999996705,-430848.00175619806,88889.23542493251,301.72205803922736,342.4238188306513,1.0245457269831315
4100,4.099999999999704,-430157.9310059287,88628.39042549173,300.8366562278125,342.4238188306513,1.0245457269831315
4200,4.199999999999737,-430043.1639696899,88483.40059168689,300.34450854714873,342.4238188306513,1.0245457269831315
4300,4.299999999999771,-429782.81026252796,88259.07014299148,299.5830502632781,342.4238188306513,1.0245457269831315
4400,4.399999999999804,-429953.98579897796,88590.91060125631,300.709436214622,342.4238188306513,1.0245457269831315
4500,4.4999999999998375,-430025.27730675484,89013.11486086398,302.14254943145613,342.4238188306513,1.0245457269831315
4600,4.599999999999871,-429166.0558506748,88175.44862440169,299.29920873213354,342.4238188306513,1.0245457269831315
4700,4.699999999999904,-429868.9302116015,88446.5306665907,300.2193587511515,342.4238188306513,1.0245457269831315
4800,4.799999999999938,-430217.258937164,88518.61289185769,300.4640317675369,342.4238188306513,1.0245457269831315
4900,4.899999999999971,-429838.53205392585,87872.41337083967,298.2705980131181,342.4238188306513,1.0245457269831315
5000,5.000000000000004,-430296.9683560942,87704.80146551905,297.7016628795954,342.4238188306513,1.0245457269831315
5100,5.100000000000038,-430996.63270256174,88206.98523970314,299.40625535512294,342.4238188306513,1.0245457269831315
5200,5.200000000000071,-430096.0135722485,87598.91066639377,297.3422313951557,342.4238188306513,1.0245457269831315
5300,5.300000000000105,-431259.15364600567,88400.46583374924,300.0629981288364,342.4238188306513,1.0245457269831315
5400,5.400000000000138,-430650.507092454,87959.99614027317,298.5678854553593,342.4238188306513,1.0245457269831315
5500,5.500000000000171,-429967.4630909242,88266.03109910645,299.60667825371905,342.4238188306513,1.0245457269831315
5600,5.600000000000205,-429950.4909386232,88047.96145907183,298.86647140783293,342.4238188306513,1.0245457269831315
5700,5.700000000000238,-429614.3362405228,87775.38686736769,297.9412551385623,342.4238188306513,1.0245457269831315
5800,5.800000000000272,-430923.98863661825,88631.43472850646,300.8469896879499,342.4238188306513,1.0245457269831315
5900,5.900000000000305,-430667.63134607516,88256.33180012203,299.57375534199497,342.4238188306513,1.0245457269831315
6000,6.000000000000338,-430207.3760748238,87814.15702666256,298.072855013362,342.4238188306513,1.0245457269831315
6100,6.100000000000372,-430414.44498004584,88416.47230145702,300.1173298412833,342.4238188306513,1.0245457269831315
6200,6.200000000000405,-431048.142728664,88812.50003859996,301.4615905194201,342.4238188306513,1.0245457269831315
6300,6.300000000000439,-430393.1603682167,88509.09920082495,300.4317388760048,342.4238188306513,1.0245457269831315
6400,6.400000000000472,-429805.9595567176,87981.5101368107,298.64091170292374,342.4238188306513,1.0245457269831315
6500,6.500000000000505,-430479.3227175093,88483.22701510473,300.34391936575514,342.4238188306513,1.0245457269831315
6600,6.600000000000539,-430078.9151092854,88793.54718949302,301.39725772804314,342.4238188306513,1.0245457269831315
6700,6.700000000000572,-430649.35052212485,89246.46531824754,302.9346248712952,342.4238188306513,1.0245457269831315
6800,6.800000000000606,-430103.9400638406,88427.20828139142,300.15377162127373,342.4238188306513,1.0245457269831315
6900,6.900000000000639,-430441.00679136347,88489.16222182408,300.3640655935598,342.4238188306513,1.0245457269831315
7000,7.000000000000672,-429841.1990401539,88257.90893642463,299.57910871024876,342.4238188306513,1.0245457269831315
7100,7.100000000000706,-430663.05076446244,89046.79025805907,302.25685584998274,342.4238188306513,1.0245457269831315
7200,7.200000000000739,-429644.7122854066,88396.30786551556,300.0488844881157,342.4238188306513,1.0245457269831315
7300,7.3000000000007725,-429053.88849153504,88011.87727204336,298.7439886896404,342.4238188306513,1.0245457269831315
7400,7.400000000000806,-428870.7967175342,87874.8794170773,298.27896866162786,342.4238188306513,1.0245457269831315
7500,7.500000000000839,-429304.055478178,88303.39147673278,299.7334928221272,342.4238188306513,1.0245457269831315
7600,7.600000000000873,-429402.0986866772,88398.53977842822,300.0564604038512,342.4238188306513,1.0245457269831315
7700,7.700000000000906,-429676.32069981063,88541.36463716341,300.54125937991097,342.4238188306513,1.0245457269831315
7800,7.8000000000009395,-429452.5279076446,88559.35432674535,300.6023228611998,342.4238188306513,1.0245457269831315
