#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,0.10000000000000007,-464395.2316054697,46284.78208496409,157.1072092116955,0
200,0.20000000000000015,-460365.3442339795,50486.50233791523,171.36936003305277,2.07
300,0.3000000000000002,-458227.7536547724,55127.498556563965,187.12257158616057,1.98
400,0.4000000000000003,-455337.84815250954,58337.65955356797,198.01901341089962,1.93
500,0.5000000000000003,-453134.5967079626,61613.21893881538,209.13744090351975,1.94
600,0.6000000000000004,-450870.78086676355,64402.75402650209,218.60612700038985,1.93
700,0.7000000000000005,-448053.1644909242,66034.51490450097,224.14491072357197,1.87
800,0.8000000000000006,-446170.75354128686,68560.58923158541,232.71931617418056,1.8
900,0.9000000000000007,-443781.61339204485,70210.87060937696,238.32096513955588,1.8
1000,1.0000000000000007,-441541.22150375607,71517.96109014966,242.75770067920712,1.81
1100,1.0999999999999897,-439363.5756107258,72779.77596039289,247.0407545011269,1.81
1200,1.1999999999999786,-437942.0895021481,74115.12554879475,251.57341162308745,1.79
1300,1.2999999999999676,-436789.42850437085,75937.41347886866,257.7589127354946,1.78
1400,1.3999999999999566,-435286.8369397819,76472.49452196137,259.57517038208056,1.77
1500,1.4999999999999456,-433507.2300819746,77294.3721305816,262.3649187958654,1.77
1600,1.5999999999999346,-432993.2554051207,78871.4481762161,267.718082515842,1.77
1700,1.6999999999999236,-431284.35611034755,78726.97919368703,267.2277027918729,1.76
1800,1.7999999999999126,-430341.0539461514,79335.36228869413,269.2927739855253,1.76
1900,1.8999999999999015,-429266.957734052,80298.84163385787,272.5631696584253,1.75
2000,1.9999999999998905,-428152.9626517466,80706.79470895126,273.94790922573276,1.74
2100,2.0999999999998797,-427555.46922760643,81231.86552508893,275.7301885591531,1.73
2200,2.1999999999998687,-426245.44080252567,80904.23858049656,274.6181047897411,1.74
2300,2.2999999999998577,-425927.1427681332,81846.84168603172,277.8176389915671,1.74
2400,2.3999999999998467,-425421.5590497789,82122.67401816256,278.75391320437166,1.74
2500,2.4999999999998357,-424616.80578995263,83276.97651229078,282.6720313259107,1.75
2600,2.5999999999998247,-423671.61887897237,82900.29024608916,281.3934225615295,1.75
2700,2.6999999999998137,-423044.5093244654,83264.62026357462,282.63008977050794,1.75
2800,2.7999999999998026,-422149.4769638283,83312.50461965436,282.79262650957645,1.76
2900,2.8999999999997916,-421676.3893729989,83547.16207101381,283.58913835738286,1.76
3000,2.9999999999997806,-421554.40667351487,84366.54868193108,286.3704314284042,1.76
3100,3.0999999999997696,-421666.82758778497,85616.79569175202,290.6142197685473,1.77
3200,3.1999999999997586,-420547.76541385986,85127.55141974146,288.95354862058144,1.77
3300,3.2999999999997476,-419975.57179776905,84985.48629662757,288.4713284606643,1.77
3400,3.3999999999997366,-420326.35065333877,85629.43810704598,290.65713267631213,1.77
3500,3.4999999999997256,-419540.1284962414,85368.22996630144,289.7704982326106,1.78
3600,3.5999999999997145,-419701.1357891983,85852.79276981793,291.41527879155376,1.78
3700,3.6999999999997035,-419092.561578128,85648.17123043753,290.72071963952743,1.78
3800,3.7999999999996925,-418750.0551607975,85880.82022781161,291.51041407162495,1.79
3900,3.8999999999996815,-418166.35453740327,86339.79121948576,293.0683268101722,1.79
4000,3.9999999999996705,-418062.9971050248,86361.1112145408,293.14069454688,1.79
4100,4.099999999999704,-418116.8362020861,86847.67436283556,294.7922649959646,1.79
4200,4.199999999999737,-417670.5178569338,86864.62341628227,294.8497961836648,1.79
4300,4.299999999999771,-417607.34578617883,87310.5433509595,296.3634089374291,1.79
4400,4.399999999999804,-417114.1158761198,86733.46038800965,294.40458165752017,1.8
4500,4.4999999999998375,-416701.12784841505,86786.47489008955,294.584531958555,1.8
4600,4.599999999999871,-416457.1029998497,86957.37560283861,295.16463048819713,1.8
4700,4.699999999999904,-416284.4795649433,87048.92036748666,295.4753663681975,1.8
4800,4.799999999999938,-417302.38177781965,87892.25574124516,298.3379501599389,1.8
4900,4.899999999999971,-416609.6278906028,87433.44674420086,296.78058728947036,1.8
5000,5.000000000000004,-417378.4168009037,88108.5581701885,299.0721584553267,1.8
